"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"graph"
"adb1eb29-09c4-57e7-910e-12b4a045984b"	"Semantic"	"Logic Graph"	"e196e48a-760b-5cd3-b5f0-8e5b3bb49627"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"cbc2314b-5b85-5440-93bc-2af2105ff4e6"	"Semantic"	"Logic Graph"	"81487d5f-6115-51e2-a3b3-93d783888eb8"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic type (SOLOR) <3daac6c4-78c5-5271-9c63-6e28f80e0c52>""
"
"900ef68a-baad-5871-8501-cce620615323"	"Semantic"	"Logic Graph"	"9c3dfc88-51e4-5e51-a59a-88dd580162b7"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
"1f07af23-2370-5642-8998-ec92f79fdabf"	"Semantic"	"Logic Graph"	"b168ad04-f814-5036-b886-fd4913de88c8"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"1239ed8d-28a7-59e4-9e22-6ae4effac220"	"Semantic"	"Logic Graph"	"d6b9e2cc-31c6-5e80-91b7-7537690aae32"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"2cedc99d-23a9-512c-a7f0-46d16b0364bd"	"Semantic"	"Logic Graph"	"dbdd8df2-aec3-596b-88fc-7b83b5594a45"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"103d7691-8dfd-546e-92e2-b94ac8c356a7"	"Semantic"	"Logic Graph"	"85ff6e8f-9151-5428-a5f0-e07844b69260"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"7f177f17-6f22-5271-8c15-f0a8c9eec9a1"	"Semantic"	"Logic Graph"	"6efe7087-3e3c-5b45-8109-90d7652b1506"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"9c50d8a8-4942-5e96-b22a-57b1c59cacb1"	"Semantic"	"Logic Graph"	"ff59c300-9c4e-5e77-a35d-6a133eb3440f"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"497b577f-dfea-535b-98ae-46c069ef1f33"	"Semantic"	"Logic Graph"	"c16eb414-8840-54f8-9bd2-e2f1ab37e19d"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"2b46ca27-e7c9-5ef0-8613-abb9d30fd08b"	"Semantic"	"Logic Graph"	"9574952e-6507-589f-b789-9e9c5d81e50b"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"e9237eb7-8186-53b4-adc2-aa20e4ad3ef3"	"Semantic"	"Logic Graph"	"fb00d132-fcc3-5cbf-881d-4bcc4b4c91b3"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"3ec9969b-cda5-557b-b364-e425f8dfe51c"	"Semantic"	"Logic Graph"	"ac8f1f54-c7c6-5fc7-b1a8-ebb04b918557"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Component field (SOLOR) <fb00d132-fcc3-5cbf-881d-4bcc4b4c91b3>""
"
"566b8746-e598-5f4f-8ef0-379ef7809a96"	"Semantic"	"Logic Graph"	"8d0fdf86-9c18-50b4-b59f-fb83db9cbcaf"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"2dadd842-abda-5e2d-aeac-18526c410700"	"Semantic"	"Logic Graph"	"9c3e4a52-bfa8-5f42-8fb1-3681f5a58ecb"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"0358f8af-b612-513e-821e-0b4385539b95"	"Semantic"	"Logic Graph"	"dea8cb0f-9bb5-56bb-af27-a14943cb24ba"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Semantic field type (SOLOR) <9c3dfc88-51e4-5e51-a59a-88dd580162b7>""
"
"6d8c248e-f8b3-5ee3-936b-4245aab35373"	"Semantic"	"Logic Graph"	"40d1c869-b509-32f8-b735-836eac577a67"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""version:1.2.0 <7bbd4210-381c-11e7-9598-0800200c9a66>""
"
"eb7997a1-9504-5ca2-8fc0-9aa132d280f9"	"Semantic"	"Logic Graph"	"34a6dae3-e5e9-50db-a9ee-69c1067911d8"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Module (SOLOR) <40d1c869-b509-32f8-b735-836eac577a67>""
"
"e0bafb73-fd84-5ea5-9e19-d86c8fcb2cb1"	"Semantic"	"Logic Graph"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""Module (SOLOR) <40d1c869-b509-32f8-b735-836eac577a67>""
"
"c5cfae6d-4c26-5780-9148-310b47a67e2b"	"Semantic"	"Logic Graph"	"511ec23e-723b-5d40-aa96-d5fc34940516"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR <f680c868-f7e5-5d0e-91f2-615eca8f8fd2>""
"
"0df4dff7-333d-5337-b740-e8f7118153a7"	"Semantic"	"Logic Graph"	"fdb00893-b2fc-5d2d-9dbb-3430808565d7"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR <f680c868-f7e5-5d0e-91f2-615eca8f8fd2>""
"
"1beb975a-27ee-5d52-aa08-3d944bdd7703"	"Semantic"	"Logic Graph"	"7011445a-1a3c-5b71-9a46-32d86c803027"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"Root[0]➞[3]
    Necessary[3]➞[2]
        And[2]➞[1]
            ConceptNode[1] ""SOLOR <f680c868-f7e5-5d0e-91f2-615eca8f8fd2>""
"
