"UUID"	"IsaacObjectType"	"VersionType"	"ReferencedComponent"	"Status"	"Time"	"Author"	"Module"	"Path"	"component"
"c4b3507d-1d46-5dea-a649-ed4a98cbc678"	"Semantic"	"Component Nid"	"442f6a58-b87d-5c92-97a4-e8ad3939fbe5"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"943549ea-b7b0-55a3-86de-d28c845b2a0b"	"Semantic"	"Component Nid"	"1cfdd063-ade5-5073-9a84-325bd9f42b86"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"36bfb8de-66d8-518f-98d3-dadf7f4e9037"	"Semantic"	"Component Nid"	"fff74c14-0710-5f09-b839-921b6bb146db"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"f4f97a32-e886-5bcd-9a98-ff47838992a4"	"Semantic"	"Component Nid"	"ac04cb6a-9ace-5c3c-9d94-fbdd7e2e367c"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"e994bdfe-0497-54da-9645-2aca9cffbdc8"	"Semantic"	"Component Nid"	"4faae856-c095-5c2f-ad18-105dce0d254f"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"12b9e103-060e-3256-9982-18c1191af60e"
"2f40ae44-b2dc-5171-8485-f861aeef67c1"	"Semantic"	"Component Nid"	"b5124797-5c99-5bc3-832a-c2fbe049665c"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"1893b319-2476-55fd-8d97-ed64a69983f4"	"Semantic"	"Component Nid"	"be17ae9d-efce-5f08-bb6b-b9508bed5420"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"cf662caf-1903-5204-bbe2-6c4d65c44038"	"Semantic"	"Component Nid"	"c6f1a9d9-2e61-5a72-81f4-b45cd4aa87af"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"d552d58f-cff2-5318-8834-2ca2add277a1"	"Semantic"	"Component Nid"	"f172f035-ff53-554b-a909-d1677620ffe4"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
"0c1f6bac-c278-51ca-a429-890c1f509f94"	"Semantic"	"Component Nid"	"ae7143b7-8db2-57f4-a449-25519102c959"	"Active"	"2018-10-10 11:06:37.938"	"f7495b58-6630-3499-a44e-2052b5fcf06c"	"f680c868-f7e5-5d0e-91f2-615eca8f8fd2"	"1f200ca6-960e-11e5-8994-feff819cdc9f"	"266f1bc3-3361-39f3-bffe-69db9daea56e"
